realm_code,minor_level,cultivation_required
mortal,1,0
qi_refining,1,10000
qi_refining,2,130000
qi_refining,3,260000
qi_refining,4,420000
qi_refining,5,590000
qi_refining,6,790000
qi_refining,7,1000000
qi_refining,8,1300000
qi_refining,9,1600000
foundation,1,2000000
foundation,2,4700000
foundation,3,7900000
foundation,4,11600000
golden_core,1,15800000
golden_core,2,25200000
golden_core,3,36100000
golden_core,4,48900000
nascent_soul,1,63100000
nascent_soul,2,77600000
nascent_soul,3,94300000
nascent_soul,4,114000000
spirit_transformation,1,136000000
spirit_transformation,2,213000000
spirit_transformation,3,303000000
spirit_transformation,4,408000000
void_refining,1,525000000
void_refining,2,773000000
void_refining,3,1060000000
void_refining,4,1400000000
body_integration,1,1770000000
body_integration,2,2350000000
body_integration,3,3020000000
body_integration,4,3800000000
mahayana,1,4670000000
mahayana,2,5820000000
mahayana,3,7140000000
mahayana,4,8690000000
tribulation,1,10420000000
tribulation,2,13270000000
tribulation,3,16400000000
tribulation,4,19920000000
